resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3,latitude,longitude
2445,Windsor CMA,ON,N9B,92,90,14.0,42.2949,-83.052
2446,Windsor CMA,ON,N9B,91,107,22.0,42.2949,-83.052
2447,Windsor CMA,ON,N9B,91,49,14.0,42.2949,-83.052
2448,Windsor CMA,ON,N9B,99,487,14.0,42.2949,-83.052
2449,Windsor CMA,ON,N9B,90,96,14.0,42.2949,-83.052
2450,Windsor CMA,ON,N9B,91,88,14.0,42.2949,-83.052
2451,Windsor CMA,ON,N9B,91,311,14.0,42.2949,-83.052
2452,Windsor CMA,ON,N9C,93,85,14.0,42.2767,-83.0793
2453,Windsor CMA,ON,N9C,95,65,14.0,42.2767,-83.0793
2454,Windsor CMA,ON,N9C,89,110,14.0,42.2767,-83.0793
2455,Windsor CMA,ON,N9C,91,99,14.0,42.2767,-83.0793
2456,Windsor CMA,ON,N9E,91,214,21.0,42.2652,-83.0314
2457,Windsor CMA,ON,N9E,94,320,14.0,42.2652,-83.0314
2458,Windsor CMA,ON,N9E,91,450,14.0,42.2652,-83.0314
2459,Windsor CMA,ON,N9E,97,209,14.0,42.2652,-83.0314
2460,Windsor CMA,ON,N9E,93,75,25.0,42.2652,-83.0314
2461,Windsor CMA,ON,N9E,119,63,14.0,42.2652,-83.0314
2462,Windsor CMA,ON,N9G,92,142,14.0,42.2481,-82.9952
2464,Windsor CMA,ON,N9H,110,88,14.0,42.2318,-83.0281
2465,Windsor CMA,ON,N9H,115,119,23.0,42.2318,-83.0281
2466,Windsor CMA,ON,N9H,92,75,14.0,42.2318,-83.0281
2467,Windsor CMA,ON,N9H,91,98,14.0,42.2318,-83.0281
2468,Windsor CMA,ON,N9J,90,236,14.0,42.2187,-83.0801
2469,Windsor CMA,ON,N9J,92,125,14.0,42.2187,-83.0801
2470,Windsor CMA,ON,N9J,91,209,14.0,42.2187,-83.0801
2471,Windsor CMA,ON,N9J,92,24,14.0,42.2187,-83.0801
2472,Windsor CMA,ON,N9J,91,81,20.0,42.2187,-83.0801
2473,Windsor CMA,ON,N9J,93,371,35.0,42.2187,-83.0801
2474,Windsor CMA,ON,N9J,92,67,14.0,42.2187,-83.0801
2566,Montreal CMA,QC,H1C,91,108,16.0,45.6656,-73.5367
2567,Montreal CMA,QC,H1C,110,187,14.0,45.6656,-73.5367
2568,Montreal CMA,QC,H1E,91,715,26.0,45.6342,-73.5842
2569,Montreal CMA,QC,H1E,93,127,14.0,45.6342,-73.5842
2570,Montreal CMA,QC,H1V,93,74,20.0,45.5585,-73.5386
2571,Montreal CMA,QC,H1V,91,27,23.0,45.5585,-73.5386
2574,Ottawa - Gatineau CMA,QC,J8L,123,105,14.0,45.5856,-75.4208
2575,Ottawa - Gatineau CMA,QC,J8L,113,38,14.0,45.5856,-75.4208
2576,Ottawa - Gatineau CMA,QC,J8M,91,177,14.0,45.5435,-75.4274
2577,Ottawa - Gatineau CMA,QC,J8M,90,85,14.0,45.5435,-75.4274
2578,Ottawa - Gatineau CMA,QC,J8P,110,59,21.0,45.4869,-75.6157
2579,Ottawa - Gatineau CMA,QC,J8P,91,48,14.0,45.4869,-75.6157
2580,Ottawa - Gatineau CMA,QC,J8T,92,58,17.0,45.4776,-75.7059
2581,Ottawa - Gatineau CMA,QC,J8T,93,130,14.0,45.4776,-75.7059
2582,Ottawa - Gatineau CMA,QC,J8T,96,153,14.0,45.4776,-75.7059
2583,Ottawa - Gatineau CMA,QC,J8V,92,290,14.0,45.5711,-75.7615
2584,Ottawa - Gatineau CMA,QC,J8V,96,133,14.0,45.5711,-75.7615
2585,Ottawa - Gatineau CMA,QC,J8V,100,102,14.0,45.5711,-75.7615
2586,Ottawa - Gatineau CMA,QC,J8Y,96,297,23.0,45.448,-75.7434
2587,Ottawa - Gatineau CMA,QC,J8Y,91,36,18.0,45.448,-75.7434
2588,Ottawa - Gatineau CMA,QC,J8Z,91,268,14.0,45.4716,-75.7616
2589,Ottawa - Gatineau CMA,QC,J8Z,91,536,14.0,45.4716,-75.7616
2590,Ottawa - Gatineau CMA,QC,J8Z,92,46,14.0,45.4716,-75.7616
2591,Ottawa - Gatineau CMA,QC,J9A,95,14,16.0,45.4279,-75.7711
2592,Ottawa - Gatineau CMA,QC,J9A,102,29,14.0,45.4279,-75.7711
2593,Ottawa - Gatineau CMA,QC,J9H,92,194,17.0,45.3932,-75.8288
2594,Ottawa - Gatineau CMA,QC,J9H,89,56,14.0,45.3932,-75.8288
2595,Ottawa - Gatineau CMA,QC,J9J,91,88,14.0,45.4394,-75.8465
2596,Ottawa - Gatineau CMA,QC,J9J,93,48,14.0,45.4394,-75.8465
2601,Quebec CMA,QC,G1B,93,31,14.0,46.9263,-71.2258
2602,Quebec CMA,QC,G1B,104,208,40.0,46.9263,-71.2258
2603,Quebec CMA,QC,G1C,91,16,14.0,46.8801,-71.196
2604,Quebec CMA,QC,G1C,100,37,14.0,46.8801,-71.196
2605,Quebec CMA,QC,G1C,91,38,14.0,46.8801,-71.196
2606,Quebec CMA,QC,G1C,93,84,14.0,46.8801,-71.196
2607,Quebec CMA,QC,G1C,91,14,14.0,46.8801,-71.196
2608,Quebec CMA,QC,G1C,64,61,14.0,46.8801,-71.196
2609,Quebec CMA,QC,G1E,91,50,14.0,46.8588,-71.192
2610,Quebec CMA,QC,G1E,129,68,14.0,46.8588,-71.192
2611,Quebec CMA,QC,G1E,112,364,43.0,46.8588,-71.192
2612,Quebec CMA,QC,G1E,91,274,14.0,46.8588,-71.192
2613,Quebec CMA,QC,G1G,91,14,14.0,46.8765,-71.2839
2614,Quebec CMA,QC,G1G,91,17,14.0,46.8765,-71.2839
2615,Quebec CMA,QC,G1G,97,100,14.0,46.8765,-71.2839
2616,Quebec CMA,QC,G1G,91,14,74.0,46.8765,-71.2839
2617,Quebec CMA,QC,G1G,94,157,14.0,46.8765,-71.2839
2618,Quebec CMA,QC,G1H,94,74,14.0,46.8528,-71.2573
2619,Quebec CMA,QC,G1H,91,37,14.0,46.8528,-71.2573
2620,Quebec CMA,QC,G1H,94,21,14.0,46.8528,-71.2573
2621,Quebec CMA,QC,G1H,93,16,14.0,46.8528,-71.2573
2622,Quebec CMA,QC,G1H,93,39,14.0,46.8528,-71.2573
2623,Quebec CMA,QC,G1H,89,39,14.0,46.8528,-71.2573
2624,Quebec CMA,QC,G1J,91,360,14.0,46.838,-71.2232
2625,Quebec CMA,QC,G1J,96,221,14.0,46.838,-71.2232
2626,Quebec CMA,QC,G1J,108,32,14.0,46.838,-71.2232
2627,Quebec CMA,QC,G1K,93,18,14.0,46.814,-71.2194
2628,Quebec CMA,QC,G1K,109,28,14.0,46.814,-71.2194
2629,Quebec CMA,QC,G1K,92,75,14.0,46.814,-71.2194
2630,Quebec CMA,QC,G1K,92,310,14.0,46.814,-71.2194
2631,Quebec CMA,QC,G1K,91,55,14.0,46.814,-71.2194
2632,Quebec CMA,QC,G1L,92,18,14.0,46.8304,-71.2455
2633,Quebec CMA,QC,G1L,91,52,14.0,46.8304,-71.2455
2634,Quebec CMA,QC,G1L,90,24,14.0,46.8304,-71.2455
2635,Quebec CMA,QC,G1M,109,85,14.0,46.8183,-71.2706
2636,Quebec CMA,QC,G1M,91,17,14.0,46.8183,-71.2706
2637,Quebec CMA,QC,G1M,94,38,14.0,46.8183,-71.2706
2638,Quebec CMA,QC,G1P,92,72,14.0,46.8097,-71.3102
2639,Quebec CMA,QC,G1P,98,398,14.0,46.8097,-71.3102
2640,Quebec CMA,QC,G1S,95,137,14.0,46.7933,-71.2453
2641,Quebec CMA,QC,G1S,97,224,14.0,46.7933,-71.2453
2642,Quebec CMA,QC,G1T,91,29,17.0,46.7741,-71.2609
2643,Quebec CMA,QC,G1T,93,890,14.0,46.7741,-71.2609
2644,Quebec CMA,QC,G1V,107,61,14.0,46.7823,-71.2882
2645,Quebec CMA,QC,G1V,95,47,14.0,46.7823,-71.2882
2646,Quebec CMA,QC,G1V,90,21,14.0,46.7823,-71.2882
2647,Quebec CMA,QC,G1V,96,121,14.0,46.7823,-71.2882
2648,Quebec CMA,QC,G1W,93,167,14.0,46.7589,-71.298
2649,Quebec CMA,QC,G1W,95,14,14.0,46.7589,-71.298
2650,Quebec CMA,QC,G1W,90,63,14.0,46.7589,-71.298
2651,Quebec CMA,QC,G1W,90,212,14.0,46.7589,-71.298
2652,Quebec CMA,QC,G1X,90,192,14.0,46.7749,-71.3344
2653,Quebec CMA,QC,G1X,93,300,14.0,46.7749,-71.3344
2654,Quebec CMA,QC,G1X,108,142,26.0,46.7749,-71.3344
2655,Quebec CMA,QC,G1X,96,56,17.0,46.7749,-71.3344
2656,Quebec CMA,QC,G1Y,92,97,14.0,46.7507,-71.3562
2657,Quebec CMA,QC,G1Y,92,77,73.0,46.7507,-71.3562
2658,Quebec CMA,QC,G1Y,100,150,14.0,46.7507,-71.3562
2659,Quebec CMA,QC,G1Y,91,85,14.0,46.7507,-71.3562
2661,Quebec CMA,QC,G2A,91,279,14.0,46.8751,-71.392
2662,Quebec CMA,QC,G2B,103,46,14.0,46.8505,-71.3357
2663,Quebec CMA,QC,G2B,91,31,17.0,46.8505,-71.3357
2664,Quebec CMA,QC,G2B,91,16,14.0,46.8505,-71.3357
2665,Quebec CMA,QC,G2B,90,25,14.0,46.8505,-71.3357
2666,Quebec CMA,QC,G2C,103,63,14.0,46.8287,-71.334
2667,Quebec CMA,QC,G2C,92,99,14.0,46.8287,-71.334
2668,Quebec CMA,QC,G2C,91,39,14.0,46.8287,-71.334
2669,Quebec CMA,QC,G2E,90,29,14.0,46.8083,-71.3605
2670,Quebec CMA,QC,G2E,93,50,14.0,46.8083,-71.3605
2671,Quebec CMA,QC,G2E,98,23,141.0,46.8083,-71.3605
2672,Quebec CMA,QC,G2G,91,116,14.0,46.7903,-71.4157
2673,Quebec CMA,QC,G2G,92,23,14.0,46.7903,-71.4157
2674,Quebec CMA,QC,G2G,92,63,40.0,46.7903,-71.4157
2675,Quebec CMA,QC,G2K,90,49,14.0,46.8545,-71.3044
2676,Quebec CMA,QC,G2K,93,67,14.0,46.8545,-71.3044
2677,Quebec CMA,QC,G2K,92,50,14.0,46.8545,-71.3044
2678,Quebec CMA,QC,G2L,100,76,14.0,46.8895,-71.2545
2679,Quebec CMA,QC,G2L,92,376,14.0,46.8895,-71.2545
2680,Quebec CMA,QC,G2L,92,63,14.0,46.8895,-71.2545
2681,Quebec CMA,QC,G2L,98,140,14.0,46.8895,-71.2545
2682,Quebec CMA,QC,G3E,104,155,14.0,46.8779,-71.3408
2683,Quebec CMA,QC,G3E,91,104,14.0,46.8779,-71.3408
2684,Quebec CMA,QC,G3E,95,963,14.0,46.8779,-71.3408
2685,Quebec CMA,QC,G3G,102,431,14.0,46.9242,-71.3958
2686,Quebec CMA,QC,G3G,91,204,14.0,46.9242,-71.3958
2687,Quebec CMA,QC,G3J,92,33,14.0,46.8603,-71.4752
2688,Quebec CMA,QC,G3J,93,129,14.0,46.8603,-71.4752
2689,Quebec CMA,QC,G3J,92,89,14.0,46.8603,-71.4752
2690,Quebec CMA,QC,G3J,91,57,14.0,46.8603,-71.4752
2691,Quebec CMA,QC,G3K,93,118,14.0,46.8315,-71.4429
2692,Quebec CMA,QC,G3K,89,77,28.0,46.8315,-71.4429
2693,Quebec CMA,QC,G3K,252,53,14.0,46.8315,-71.4429
2694,Quebec CMA,QC,G3K,125,24,14.0,46.8315,-71.4429
2695,Saguenay CMA,QC,G7B,119,28,14.0,48.3398,-70.8893
2696,Saguenay CMA,QC,G7B,91,206,14.0,48.3398,-70.8893
2697,Saguenay CMA,QC,G7B,96,25,14.0,48.3398,-70.8893
2698,Saguenay CMA,QC,G7B,91,49,14.0,48.3398,-70.8893
2699,Saguenay CMA,QC,G7B,91,106,14.0,48.3398,-70.8893
2700,Saguenay CMA,QC,G7B,72,50,14.0,48.3398,-70.8893
2701,Saguenay CMA,QC,G7B,92,85,14.0,48.3398,-70.8893
2702,Saguenay CMA,QC,G7B,95,187,14.0,48.3398,-70.8893
2703,Saguenay CMA,QC,G7G,107,176,14.0,48.445,-71.1025
2704,Saguenay CMA,QC,G7G,93,90,14.0,48.445,-71.1025
2705,Saguenay CMA,QC,G7G,92,26,14.0,48.445,-71.1025
2706,Saguenay CMA,QC,G7G,92,14,65.0,48.445,-71.1025
2707,Saguenay CMA,QC,G7G,92,14,16.0,48.445,-71.1025
2708,Saguenay CMA,QC,G7G,101,101,14.0,48.445,-71.1025
2709,Saguenay CMA,QC,G7G,97,32,14.0,48.445,-71.1025
2710,Saguenay CMA,QC,G7G,91,33,41.0,48.445,-71.1025
2711,Saguenay CMA,QC,G7H,91,105,14.0,48.4187,-71.0417
2712,Saguenay CMA,QC,G7H,93,25,14.0,48.4187,-71.0417
2713,Saguenay CMA,QC,G7H,91,25,14.0,48.4187,-71.0417
2714,Saguenay CMA,QC,G7H,115,39,24.0,48.4187,-71.0417
2715,Saguenay CMA,QC,G7H,97,28,14.0,48.4187,-71.0417
2716,Saguenay CMA,QC,G7H,90,52,14.0,48.4187,-71.0417
2717,Saguenay CMA,QC,G7H,104,268,14.0,48.4187,-71.0417
2718,Saguenay CMA,QC,G7H,91,22,14.0,48.4187,-71.0417
2719,Saguenay CMA,QC,G7H,100,104,14.0,48.4187,-71.0417
2720,Saguenay CMA,QC,G7H,90,191,14.0,48.4187,-71.0417
2721,Saguenay CMA,QC,G7H,90,216,14.0,48.4187,-71.0417
2722,Saguenay CMA,QC,G7H,102,31,14.0,48.4187,-71.0417
2723,Saguenay CMA,QC,G7J,92,47,14.0,48.4175,-71.1031
2724,Saguenay CMA,QC,G7J,94,14,16.0,48.4175,-71.1031
2725,Saguenay CMA,QC,G7J,91,26,14.0,48.4175,-71.1031
2726,Saguenay CMA,QC,G7J,97,112,14.0,48.4175,-71.1031
2727,Saguenay CMA,QC,G7J,92,369,19.0,48.4175,-71.1031
2728,Saguenay CMA,QC,G7J,93,177,14.0,48.4175,-71.1031
2729,Saguenay CMA,QC,G7J,91,64,14.0,48.4175,-71.1031
2730,Saguenay CMA,QC,G7J,91,14,14.0,48.4175,-71.1031
2731,Saguenay CMA,QC,G7J,93,66,14.0,48.4175,-71.1031
2732,Saguenay CMA,QC,G7K,93,37,14.0,48.3689,-71.1175
2733,Saguenay CMA,QC,G7K,91,49,14.0,48.3689,-71.1175
2734,Saguenay CMA,QC,G7K,87,88,14.0,48.3689,-71.1175
2735,Saguenay CMA,QC,G7N,84,78,25.0,48.2007,-71.1426
2736,Saguenay CMA,QC,G7N,104,43,14.0,48.2007,-71.1426
2737,Saguenay CMA,QC,G7N,109,20,14.0,48.2007,-71.1426
2738,Saguenay CMA,QC,G7N,103,18,14.0,48.2007,-71.1426
2739,Saguenay CMA,QC,G7N,91,17,14.0,48.2007,-71.1426
2740,Saguenay CMA,QC,G7N,93,99,14.0,48.2007,-71.1426
2741,Saguenay CMA,QC,G7N,91,294,14.0,48.2007,-71.1426
2742,Saguenay CMA,QC,G7N,106,233,14.0,48.2007,-71.1426
2743,Saguenay CMA,QC,G7P,95,215,28.0,48.5501,-71.3158
2744,Saguenay CMA,QC,G7P,85,75,21.0,48.5501,-71.3158
2745,Saguenay CMA,QC,G7P,90,14,14.0,48.5501,-71.3158
2746,Saguenay CMA,QC,G7P,91,200,33.0,48.5501,-71.3158
2747,Saguenay CMA,QC,G7S,93,22,14.0,48.4294,-71.1774
2748,Saguenay CMA,QC,G7S,91,42,14.0,48.4294,-71.1774
2749,Saguenay CMA,QC,G7S,93,55,14.0,48.4294,-71.1774
2750,Saguenay CMA,QC,G7S,98,193,14.0,48.4294,-71.1774
2751,Saguenay CMA,QC,G7S,92,16,14.0,48.4294,-71.1774
2752,Saguenay CMA,QC,G7S,122,82,14.0,48.4294,-71.1774
2753,Saguenay CMA,QC,G7S,93,14,14.0,48.4294,-71.1774
2754,Saguenay CMA,QC,G7S,91,704,14.0,48.4294,-71.1774
2755,Saguenay CMA,QC,G7S,93,14,164.0,48.4294,-71.1774
2756,Saguenay CMA,QC,G7S,91,16,21.0,48.4294,-71.1774
2757,Saguenay CMA,QC,G7S,93,118,14.0,48.4294,-71.1774
2758,Saguenay CMA,QC,G7S,91,73,14.0,48.4294,-71.1774
2759,Saguenay CMA,QC,G7S,92,33,14.0,48.4294,-71.1774
2760,Saguenay CMA,QC,G7X,91,62,14.0,48.3199,-71.4149
2761,Saguenay CMA,QC,G7X,105,14,19.0,48.3199,-71.4149
2762,Saguenay CMA,QC,G7X,91,33,14.0,48.3199,-71.4149
2763,Saguenay CMA,QC,G7X,90,17,18.0,48.3199,-71.4149
2764,Saguenay CMA,QC,G7X,128,61,14.0,48.3199,-71.4149
2765,Saguenay CMA,QC,G7X,91,36,14.0,48.3199,-71.4149
2766,Saguenay CMA,QC,G7X,91,60,14.0,48.3199,-71.4149
2767,Saguenay CMA,QC,G7X,94,99,14.0,48.3199,-71.4149
2768,Saguenay CMA,QC,G7X,93,30,14.0,48.3199,-71.4149
2769,Saguenay CMA,QC,G7X,99,34,14.0,48.3199,-71.4149
2770,Saguenay CMA,QC,G7X,92,100,14.0,48.3199,-71.4149
2771,Saguenay CMA,QC,G7X,97,33,14.0,48.3199,-71.4149
2772,Saguenay CMA,QC,G7X,104,52,15.0,48.3199,-71.4149
2773,Saguenay CMA,QC,G7Y,91,127,14.0,48.3701,-71.2358
2774,Saguenay CMA,QC,G7Y,128,125,22.0,48.3701,-71.2358
2775,Saguenay CMA,QC,G7Z,98,38,14.0,48.4381,-71.2642
2776,Saguenay CMA,QC,G7Z,98,69,14.0,48.4381,-71.2642
2777,Saguenay CMA,QC,G7Z,100,76,17.0,48.4381,-71.2642
2778,Saguenay CMA,QC,G7Z,90,22,14.0,48.4381,-71.2642
2779,Saguenay CMA,QC,G7Z,119,48,14.0,48.4381,-71.2642
2780,Saguenay CMA,QC,G7Z,92,35,14.0,48.4381,-71.2642
2781,Saguenay CMA,QC,G8A,91,54,14.0,48.4233,-71.3629
2782,Saguenay CMA,QC,G8A,103,248,25.0,48.4233,-71.3629
2783,Saguenay CMA,QC,G8A,90,33,14.0,48.4233,-71.3629
2784,Saguenay CMA,QC,G8A,108,58,14.0,48.4233,-71.3629
2785,Saguenay CMA,QC,G8A,92,17,14.0,48.4233,-71.3629
2786,Saguenay CMA,QC,G8A,91,70,14.0,48.4233,-71.3629
2787,Saguenay CMA,QC,G8J,98,29,14.0,48.5834,-72.3324
2788,Saguenay CMA,QC,G8J,92,209,14.0,48.5834,-72.3324
2789,Saguenay CMA,QC,G8J,83,77,21.0,48.5834,-72.3324
2790,Saguenay CMA,QC,G8J,91,165,14.0,48.5834,-72.3324
2791,Saguenay CMA,QC,G8J,91,58,14.0,48.5834,-72.3324
2792,Saguenay CMA,QC,G8J,109,496,14.0,48.5834,-72.3324
2793,Sherbrooke CMA,QC,J1C,91,65,14.0,45.4797,-71.9492
2794,Sherbrooke CMA,QC,J1C,92,1083,14.0,45.4797,-71.9492
2795,Sherbrooke CMA,QC,J1C,94,82,14.0,45.4797,-71.9492
2796,Sherbrooke CMA,QC,J1C,91,198,14.0,45.4797,-71.9492
2797,Sherbrooke CMA,QC,J1C,91,30,14.0,45.4797,-71.9492
2798,Sherbrooke CMA,QC,J1C,98,621,14.0,45.4797,-71.9492
2799,Sherbrooke CMA,QC,J1C,139,47,18.0,45.4797,-71.9492
2800,Sherbrooke CMA,QC,J1E,91,408,14.0,45.4231,-71.8723
2801,Sherbrooke CMA,QC,J1E,89,121,14.0,45.4231,-71.8723
2802,Sherbrooke CMA,QC,J1E,90,64,14.0,45.4231,-71.8723
2803,Sherbrooke CMA,QC,J1E,93,74,14.0,45.4231,-71.8723
2804,Sherbrooke CMA,QC,J1E,88,90,17.0,45.4231,-71.8723
2805,Sherbrooke CMA,QC,J1E,91,482,14.0,45.4231,-71.8723
2806,Sherbrooke CMA,QC,J1E,92,111,14.0,45.4231,-71.8723
2807,Sherbrooke CMA,QC,J1E,91,123,19.0,45.4231,-71.8723
2808,Sherbrooke CMA,QC,J1E,114,56,16.0,45.4231,-71.8723
2809,Sherbrooke CMA,QC,J1E,100,96,14.0,45.4231,-71.8723
2810,Sherbrooke CMA,QC,J1G,91,90,14.0,45.4024,-71.8479
2811,Sherbrooke CMA,QC,J1G,94,57,14.0,45.4024,-71.8479
2812,Sherbrooke CMA,QC,J1G,99,521,26.0,45.4024,-71.8479
2813,Sherbrooke CMA,QC,J1G,94,49,14.0,45.4024,-71.8479
2814,Sherbrooke CMA,QC,J1G,125,75,18.0,45.4024,-71.8479
2815,Sherbrooke CMA,QC,J1G,91,568,14.0,45.4024,-71.8479
2816,Sherbrooke CMA,QC,J1G,100,1049,14.0,45.4024,-71.8479
2817,Sherbrooke CMA,QC,J1G,105,466,20.0,45.4024,-71.8479
2818,Sherbrooke CMA,QC,J1G,91,112,14.0,45.4024,-71.8479
2819,Sherbrooke CMA,QC,J1G,92,56,14.0,45.4024,-71.8479
2820,Sherbrooke CMA,QC,J1H,101,108,14.0,45.3891,-71.8986
2821,Sherbrooke CMA,QC,J1H,98,34,14.0,45.3891,-71.8986
2822,Sherbrooke CMA,QC,J1H,102,66,14.0,45.3891,-71.8986
2823,Sherbrooke CMA,QC,J1H,91,62,14.0,45.3891,-71.8986
2824,Sherbrooke CMA,QC,J1H,94,31,14.0,45.3891,-71.8986
2825,Sherbrooke CMA,QC,J1H,91,67,15.0,45.3891,-71.8986
2826,Sherbrooke CMA,QC,J1H,91,179,14.0,45.3891,-71.8986
2827,Sherbrooke CMA,QC,J1H,98,36,14.0,45.3891,-71.8986
2828,Sherbrooke CMA,QC,J1H,95,45,14.0,45.3891,-71.8986
2829,Sherbrooke CMA,QC,J1H,91,219,14.0,45.3891,-71.8986
2830,Sherbrooke CMA,QC,J1H,92,194,18.0,45.3891,-71.8986
2831,Sherbrooke CMA,QC,J1J,144,74,14.0,45.4131,-71.9238
2833,Sherbrooke CMA,QC,J1J,91,153,14.0,45.4131,-71.9238
2834,Sherbrooke CMA,QC,J1J,92,223,14.0,45.4131,-71.9238
2835,Sherbrooke CMA,QC,J1J,91,199,14.0,45.4131,-71.9238
2836,Sherbrooke CMA,QC,J1J,86,164,14.0,45.4131,-71.9238
2837,Sherbrooke CMA,QC,J1J,91,858,14.0,45.4131,-71.9238
2838,Sherbrooke CMA,QC,J1J,93,314,14.0,45.4131,-71.9238
2839,Sherbrooke CMA,QC,J1J,91,26,14.0,45.4131,-71.9238
2840,Sherbrooke CMA,QC,J1J,105,241,14.0,45.4131,-71.9238
2841,Sherbrooke CMA,QC,J1J,91,99,32.0,45.4131,-71.9238
2842,Sherbrooke CMA,QC,J1K,92,60,14.0,45.3822,-71.9327
2843,Sherbrooke CMA,QC,J1K,103,99,14.0,45.3822,-71.9327
2844,Sherbrooke CMA,QC,J1K,84,39,14.0,45.3822,-71.9327
2845,Sherbrooke CMA,QC,J1K,106,33,14.0,45.3822,-71.9327
2846,Sherbrooke CMA,QC,J1K,90,107,41.0,45.3822,-71.9327
2847,Sherbrooke CMA,QC,J1K,90,124,14.0,45.3822,-71.9327
2848,Sherbrooke CMA,QC,J1K,96,54,25.0,45.3822,-71.9327
2849,Sherbrooke CMA,QC,J1K,92,82,14.0,45.3822,-71.9327
2850,Sherbrooke CMA,QC,J1K,91,44,14.0,45.3822,-71.9327
2851,Sherbrooke CMA,QC,J1K,90,42,14.0,45.3822,-71.9327
2852,Sherbrooke CMA,QC,J1K,95,31,14.0,45.3822,-71.9327
2853,Sherbrooke CMA,QC,J1L,91,54,24.0,45.4113,-71.9586
2854,Sherbrooke CMA,QC,J1L,94,55,14.0,45.4113,-71.9586
2855,Sherbrooke CMA,QC,J1L,91,518,27.0,45.4113,-71.9586
2856,Sherbrooke CMA,QC,J1L,91,1125,14.0,45.4113,-71.9586
2857,Sherbrooke CMA,QC,J1L,80,1156,14.0,45.4113,-71.9586
2858,Sherbrooke CMA,QC,J1L,92,140,21.0,45.4113,-71.9586
2859,Sherbrooke CMA,QC,J1L,91,83,14.0,45.4113,-71.9586
2860,Sherbrooke CMA,QC,J1L,92,362,14.0,45.4113,-71.9586
2861,Sherbrooke CMA,QC,J1L,90,1260,14.0,45.4113,-71.9586
2862,Sherbrooke CMA,QC,J1L,92,953,14.0,45.4113,-71.9586
2863,Sherbrooke CMA,QC,J1L,39,1679,14.0,45.4113,-71.9586
2864,Sherbrooke CMA,QC,J1M,90,1442,14.0,45.3656,-71.842
2865,Sherbrooke CMA,QC,J1M,89,62,14.0,45.3656,-71.842
2866,Sherbrooke CMA,QC,J1M,92,52,14.0,45.3656,-71.842
2867,Sherbrooke CMA,QC,J1M,98,39,21.0,45.3656,-71.842
2868,Sherbrooke CMA,QC,J1M,94,130,14.0,45.3656,-71.842
2869,Sherbrooke CMA,QC,J1M,91,103,14.0,45.3656,-71.842
2870,Sherbrooke CMA,QC,J1M,91,39,14.0,45.3656,-71.842
2871,Sherbrooke CMA,QC,J1M,97,108,14.0,45.3656,-71.842
2872,Sherbrooke CMA,QC,J1N,96,857,14.0,45.3395,-72.0128
2873,Sherbrooke CMA,QC,J1N,91,89,14.0,45.3395,-72.0128
2874,Sherbrooke CMA,QC,J1N,119,121,14.0,45.3395,-72.0128
2875,Sherbrooke CMA,QC,J1N,91,35,14.0,45.3395,-72.0128
2876,Sherbrooke CMA,QC,J1N,133,186,14.0,45.3395,-72.0128
2877,Sherbrooke CMA,QC,J1N,93,45,14.0,45.3395,-72.0128
2878,Sherbrooke CMA,QC,J1N,91,73,14.0,45.3395,-72.0128
2879,Sherbrooke CMA,QC,J1N,91,58,21.0,45.3395,-72.0128
2880,Sherbrooke CMA,QC,J1N,91,150,14.0,45.3395,-72.0128
2881,Sherbrooke CMA,QC,J1N,91,399,14.0,45.3395,-72.0128
2882,Sherbrooke CMA,QC,J1N,92,50,14.0,45.3395,-72.0128
2883,Sherbrooke CMA,QC,J1N,95,88,14.0,45.3395,-72.0128
2884,Sherbrooke CMA,QC,J1N,97,40,14.0,45.3395,-72.0128
2885,Sherbrooke CMA,QC,J1R,95,19,14.0,45.3966,-72.0422
2886,Sherbrooke CMA,QC,J1R,91,42,14.0,45.3966,-72.0422
2887,Sherbrooke CMA,QC,J1R,91,66,14.0,45.3966,-72.0422
2888,Sherbrooke CMA,QC,J1R,97,186,14.0,45.3966,-72.0422
2889,Sherbrooke CMA,QC,J1R,89,951,14.0,45.3966,-72.0422
2890,Sherbrooke CMA,QC,J1R,91,91,14.0,45.3966,-72.0422
2891,Sherbrooke CMA,QC,J1R,93,31,14.0,45.3966,-72.0422
2892,Sherbrooke CMA,QC,J1R,98,23,45.0,45.3966,-72.0422
2893,Sherbrooke CMA,QC,J1R,103,68,14.0,45.3966,-72.0422
2894,Sherbrooke CMA,QC,J1R,91,55,14.0,45.3966,-72.0422
2895,Sherbrooke CMA,QC,J1R,94,72,20.0,45.3966,-72.0422
2896,Sherbrooke CMA,QC,J1R,95,83,14.0,45.3966,-72.0422
2897,Trois-Rivieres CMA,QC,G8T,125,41,14.0,46.3877,-72.5357
2898,Trois-Rivieres CMA,QC,G8T,98,79,14.0,46.3877,-72.5357
2899,Trois-Rivieres CMA,QC,G8T,91,95,14.0,46.3877,-72.5357
2900,Trois-Rivieres CMA,QC,G8T,102,53,14.0,46.3877,-72.5357
2901,Trois-Rivieres CMA,QC,G8T,110,67,14.0,46.3877,-72.5357
2902,Trois-Rivieres CMA,QC,G8T,99,66,14.0,46.3877,-72.5357
2903,Trois-Rivieres CMA,QC,G8T,92,35,17.0,46.3877,-72.5357
2904,Trois-Rivieres CMA,QC,G8T,91,46,19.0,46.3877,-72.5357
